,tweets
2363,iPhone XS Max. I love it already.
2364,I liked a @YouTube video https://t.co/qov0eqbhdY Guided Tour — iPhone XS and iPhone XR — Apple
2365,Just got the new iPhone XS 😍😍
2366,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/dYJrPg1u1w
2367,iPhone Xs Max 512GB Giveaway. This competition ends October 31st; at 11:59 PM. One lucky winners will be drawn and… https://t.co/vERC45g9nk
2368,@Kelly81563318 @josefwhiter @SFArmas38 @MrBeastYT The difference between the iPhone X and XS? Better camera; batter… https://t.co/SyQJeFLrT5
2369,The camera on this iPhone XS max .. makes me realize how shitty my 6S Plus was..
2370,I liked a @YouTube video https://t.co/GsNpjrY7DT Mecha Shots: iPhone Xs Bot Vs /v/egazord
2371,@MKBHD Compare it the iPhone xs max!!
2372,How To Record Screen On Iphone XS Max - https://t.co/2P339gaUT9: https://t.co/vivozfYzNI via @YouTube
2373,Google attempts to undercut Apple's iPhone XS with more cost effective Pixel three -- #Goo...… https://t.co/7QlyRj8xTr
2374,Mom: instead of XS Max they should’ve called it the iPhone X-Tra   😐
2375,I liked a @YouTube video https://t.co/AcKtYhRV9B Will Egg Sitter Protect iPhone XS? 100 FT Drop Test As Seen on TV
2376,Ok so give it back
2377,Apple iOS alpha 13 Release: Should You Go back to Ios 6 or get some new bug fixing your old one?  https://t.co/kWCVyla7gE
2378,Mfs lying lik a mf dumb or something 🤦🏽‍♂️🤦🏽‍♂️
2379,7 Fun Games for Iphone XS Max - https://t.co/2P339gaUT9: https://t.co/SElhfTWHur via @YouTube
2380,I got an iPhone XS today and I would have to say it is the best decision I have made in a while. 🤷‍♀️
2381,New video by PhoneDog: iPhone XS Max Review: Why It’s Not the Phone For Me https://t.co/ajkNuQ9jmL  tektiteTV; video; YouTube; IFTTT
2382,Just got my iPhone XS max and my case didn’t come from Amazon yet... so I’m living life on the edge. #caseless y’all pray my strength.
2383,#6: Yoyamo iPhone Xs Max Screen Protector; 3 Pack Tempered Glass Screen Protector 3D Touch Compatible 0.26mm Screen… https://t.co/RPrbq6iutf
2384,iPhone XS vs. Pixel 3: What's the difference? video – CNET https://t.co/km66D429kr
2385,Win an iPhone XS and Anker Accessories https://t.co/ptFVMXC7vQ
2386,@SunnyChatwani @geekyranjit @C4ETech @amitbhawani @varunkrish Not sure if the price is high but It costs less than… https://t.co/rovdednu9V
2387,I added a video to a @YouTube playlist https://t.co/WIZMA1HDSo Vlog: Buying The New IPhone Xs Max! | Azlia Williams
2388,so im upgrading my phone in jan (hopefully) nd now i cant deacide between the iphone xr or the pixel 3..... hmmmmmm
2389,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/owVDzj7oiq… https://t.co/v0xa7d1K9M
2390,Apple Watch Series 4; iPhone XS motion displays decorate London department store windows https://t.co/sofYrIw95k https://t.co/jckpdgOpCr
2391,iphone XS MAX. https://t.co/R9w0WHIRbu
2392,I also absolutely love what @tldtoday did with his selfie picture. Posting it and saying it was shot on the Pixel 2… https://t.co/72d6JDGqDp
2393,I liked a @YouTube video https://t.co/VuSf0NtSRQ UNBOXING IPHONE XS Ft. Andy Zurita / Juanpa Zurita
2394,ive been wanting to switch to the pixel for a while now but im not sure i can make the jump and the iphone xr looks beautiful aaaaagh
2395,@UnboxTherapy Lew; I’m a big fan of your work on YouTube. I just want to know if you could test something for me or… https://t.co/m8QfJzBvxq
2396,Everyday that passes I hate the camera on iPhone XS Max more &amp; more 🤢🤢🤢 so annoyed!!!
2397,I have 7 skins ($35 for all) iPhone X or XS we only used 1. The top ones in the photo are full body skins and the b… https://t.co/5wEtU4NvD8
2398,Top luxury design iPhone XS tempered glass back cover soft TPU shell pattern phone case Luxury and shiny design; TP… https://t.co/KqCs9UpHXP
2399,I think I’m in love
2400,Should we do a paid raffle on the new iPhone Xr £5 buy in one winner picked at random
2401,New video by PhoneDog: iPhone XS Max Review: Why It’s Not the Phone For Me https://t.co/ylfRk8ukff
2402,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/H7UTs6maV1
2403,@LAFC Can you make a live wallpaper for the iPhone xs?
2404,The official unofficial Pittsburgh Steeler iPhone Xs Max. @steelers https://t.co/kXJRJSfYZo
2405,iPhone Xs Max😎🙌🏾
2406,WHAT THE HELL  the iPhone Xr Lightning port isn't aligned with the speaker grills https://t.co/Ssm3feD4ux
2407,New to iPhone Xs can only other iPhone users see Animoji? I tried to send to an android or google user and it wouldn’t send.
2408,Pixel 3 pricing in Singapore is iPhone XS worthy. Gg.
2409,Hey @photojack and all the Smartphone filmmakers; look the power of the new iPhone XS Max 😎😵 https://t.co/bhx5qEejbD
2410,💕💕💕 damn
2411,iPhone XS Max so I see all the bad tweets
2412,#filmoramememaker #winiphonexs I'm running to win an iPhone Xs thanks to @Filmora_Editor; check it here &gt;&gt; https://t.co/5YTxHdxGaK
2413,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/RvgPZBAnXv… https://t.co/7Av3nd0RsB
2414,I liked a @YouTube video https://t.co/BBcvSPH1qr iPhone XS Full Specs Review
2415,What was the purpose of naming it the XS plus max .. that’s a bit extra much why not just make it the iPhone 11 lol tf
2416,First tweet using my new iPhone Xs Max. I love this phone!
2417,Help me win an iPhone XS for free! https://t.co/82Gb94wp0W
2418,Husband shares shocking Whatsapp conversation of his pregnant wife who was planning to go ‘sleep’ with a man becaus… https://t.co/QY32HcPP1p
2419,@AppleSupport I just bought an Iphone XS from ATT at the ATT Store and my god the cell reception is brutal. I went… https://t.co/TmvcSrJ2dE
2420,@vigilapp Hey folks; after the app is open for a few secs; the animation frame rate (viewing a server; &amp; going back… https://t.co/yXMAWaFOAM
2421,Tried to upgrade my phone to Iphone XS Max sad thing; they dont have a Gold in-stock. So its a big no no. Not for me is not for me. 💯
2422,iPhone XS and iPhone XR Giveaway! https://t.co/fh6TQqXpL9 via @Rarenorm
2423,Totally free; no registration required; and very easy to use! Check Filmora Meme Maker here https://t.co/aUN2C9oYIe… https://t.co/cKE4eGvd6H
2424,After playing with the iPhone XS Max at the store; I've discovered that I actually love it. Always considered getti… https://t.co/MctCTrhgt6
2425,The fix for the launch issue regarding iPhone XS/XS Max is currently under progress and an update batch including i… https://t.co/jVTYJMkCed
2426,How to Force Restart iPhone X; iPhone XS; iPhone XS Max; and iPhone XR https://t.co/6T6CgaS26G
2427,iPhone Xs Max Giveaway. This competition ends October 18th; at 11:59 PM. One lucky winner will be drawn and announc… https://t.co/VC9Zq54Ra1
2428,How to Force Restart iPhone X; iPhone XS; iPhone XS Max; and iPhone XR https://t.co/09l2PGdCvW
2429,I love my new phone ♥️🤗 the iPhone XS camera is CRAZY I can’t wait to get cute and take pictures.
2430,@somegeekintn @justinw do your self a favor and save some frustration in the process and do not get the new iphone… https://t.co/6b6X9EZla1
2431,I liked a @YouTube video https://t.co/Wpl0NPtg9Y Apple iPhone Xs Max | Unboxing en español
2432,@DebRyanShow #Rayito 3.0 iPhone XS #Rayito 3.0 iPhone XS #Rayito 3.0 iPhone XS #Rayito 3.0 iPhone XS #Rayito 3.0 iP… https://t.co/fOosUaH0Te
2433,ok if u know me u know i NEED to rt this😩
2434,@MKBHD I’m a Apple Fan; I have an iPhone X; but I have always and will always admit that the Pixel has an impressiv… https://t.co/vwXrQ0EmrG
2435,I Just Entered @RedmondPie iPhone XS Max Giveaway. Details Here: https://t.co/ZaLSpCPcx3 #RPiPhoneXS #iPhoneXS #iPhoneXSMax
2436,@mcanuffc Aren't they all these days? Heck the fully loaded iPhone Xs Max is like $2000 CAD iir.
2437,Smart RAW makes the iPhone XS camera even better https://t.co/ACXJT1ZPlJ https://t.co/tbmF7XThGn
2438,The phone that beat the iPhone XS Max in an early camera test becomes official.  #MadeByGoogle #GooglePixel3XL… https://t.co/zQ2PQCdzZb
2439,🌺 &amp; 🌿 Never Peel Off. Free Shipping. Get this!  https://t.co/RHOyfGp3Es https://t.co/x3G3gb3xE8
2440,@2oo_99 iPhone xs max*
2441,iPhone XS via /r/FlashTV https://t.co/fb8UAzXYXc | We have a discord! Link in Bio!
2442,The iPhone XS vs a Cinema Camera: Can You Tell the Difference? #photography https://t.co/aorUPqZmfN
2443,iPhone XS Max camera is horrible unless people are perfectly still.
2444,Officially up and running on that IPhone XS... gotta get used to this 😬#TheyMovedMyCheese
2445,ICYMI: Smart RAW makes the iPhone XS camera even better https://t.co/am8EGBNJdj by @mistercharlie https://t.co/6quMeNrXFn
2446,Just subscribed to Marvel Unlimited and have to say it’s pretty cool on the new iPhone XS Max!
2447,Fiiiinnnally .. 😍😍 iPhone XS .. It’s so beautiful .. #upgraded https://t.co/H0DoPsA8cL
2448,@JOBAISREAL YALL LIKE THIS IPHONE XS ON VERIZON LTE? I’m not paid lmao but I’ll sponsor 🤓😎
2449,Really I just got a new iPhone; maybe if I see if I can trade like they said and I can get that iPhone X and cancel… https://t.co/a0THfcnTc9
2450,@neopy2 Don't pick the XR. It's a 720p display with the EXACT same pixel density as the iphone 4. It's also not AMO… https://t.co/X59Gw3i8jy
2451,This IPhone XS Max Camera Is A Go 😍 https://t.co/G3Q2AC5b1a
2452,How to Force Restart iPhone X; iPhone XS; iPhone XS Max; and iPhone XR - MacRumors https://t.co/n3Iw1sWYYe
2453,Win Iphone XS #giveaway #win https://t.co/ypa8MnDMoX
2454,hi guys;do you get a nwe iphone xs max? You probably need a  case to prtect it . Take a look here for iphone xs max… https://t.co/UoBiuMlU6y
2455,Win Iphone XS #giveaway #win https://t.co/PoS8QZfXDL
2456,Sorry guys I JUST walked in the door from my rep soccer team tryouts;I had the alerts on so the goal horn went off… https://t.co/AVjXhW0QQN
2457,Scrivener v. iPhone XS Max? #amwriting https://t.co/3wVJBJ2oLT https://t.co/XeCZvZ3suE
2458,Hey Softbank looking to buy iPhone XS Max please invest
2459,I got the iPhone xs max and I’m so in love 💗💗
2460,Soft reset  iPhone 7s -Xs max Power +up or down volume
2461,iphone xs หรือ note9 ...
2462,@MKBHD Can’t wait for the iPhone Xs and Google Pixel 3 comparison videos
2463,Mf swallowed an iPhone XS Max
2464,Most iPhone XS Buyers Choose Top Models Because Who Cares About the Money Anyway https://t.co/fnooDlfJTg via @bgdftw
2465,iPhone XS Max Review: Why It's Not the Phone For Me - #followForMore #videos - https://t.co/AeynbR2XNk - #Tech… https://t.co/FN08jcut67
2466,IPHONE XS MAX UNBOXING *VERY EXPENSIVE* I ALMOST BROKE IT https://t.co/ChrXN0TvR3 via @YouTube @YoutubePromo8… https://t.co/dmtQ1QOJMG
2467,For all of us #iPhoneXSMax users.
2468,So apparently; Google pixel 3 has a shitty camera so all the thing that google can do is pushing fake photo compari… https://t.co/ICsWk9UzZY
2469,Win A iPhone XS or iPhone XR – 2 Winners! {WW} (see rules) (10/20/18) #giveaway #sweeps #win https://t.co/uCeQMziBv6
2470,iPhone Xs https://t.co/46IC2P8kSN
2471,IPHONE XS
2472,Win a Apple iPhone XS Giveaway! https://t.co/WfoHHQMHqe
2473,I Just Entered @RedmondPie iPhone XS Max Giveaway. Details Here: https://t.co/6IdqvxJADe #RPiPhoneXS #iPhoneXS #iPhoneXSMax
2474,@Dazzzz iphone xs max
2475,@onetwtuser @RobNewton08 @hectoure @lisahopeking Saw your tweet about your neighbor blasting music until 1am... You… https://t.co/DOMnJJ080g
2476,imagine being this pretty and not needing to worry about clear quality 😭
2477,Pixel 3 &gt; iPhone Xs
2478,This was taken at Buhangin with a iphone 6 how much more beautiful if iphone xs. https://t.co/BlalhhnANi
2479,I liked a @YouTube video https://t.co/zTznHVJXhB 5 MUST HAVE iPhone Xs &amp; iPhone Xs Max Accessories! (Baller Edition)
2480,Will someone buy me the iPhone XS Max? 😩
2481,Win an iPhone XS and Anker Accessories https://t.co/rGch6evjbP
2482,@paul_micosa Iphone Xs
2483,I just got the iPhone Xs and I don’t know how to act. I’m just tapping all over the screen with my acrylics acting… https://t.co/gOCDc8gi48
2484,@kburton_25 Wait did you use the iphone xs?🤔
2485,Do NOT buy an iPhone XS it is shit!!!!!! @AppleSupport
2486,Ha. Yup! The iPhone XS Max Plus Plus.
2487,So tempted to buy the iPhone XS MAX BUT I feel like I only like it cos of the new colors 😂
2488,iPhone XS Max Review: Why It’s Not the Phone For Me https://t.co/BKfBbEsbET
2489,@tldtoday Hey @Google why are you lying about the picture comparison between iPhone XS and the Pixel 3?!? How is th… https://t.co/U7qJuMNVFp
2490,I liked a @YouTube video https://t.co/N09bSxNaR1 iPhone XS Max vs Samsung Galaxy Note 9
2491,MANE LISTEN IF U AIN GOT AN IPHONE X; XS OR XS MAX U NEED TO GET ONE
2492,Win an iPhone XS and Anker Accessories https://t.co/0XwYuiD5ao
2493,Jake just dropped his fucking iPhone Xs challenge
2494,I love my iPhone XS Max.
2495,How to force restart iPhone X. https://t.co/ebGYS3DeOU
2496,FYI; $4 Pixel 3/XL Ringke cases! Details on @slickdeals here:  https://t.co/hyof5cyOvE
2497,I entered to win a brand new iPhone Xs Plus thanks to SUPCASE! https://t.co/v0Qe8iP9HK
2498,My boyfriend caved and got the iPhone xs max too😝🤓🤩
2499,why the iphone xs front camera on snackchap look like an android
2500,You don’t just find someone else’s brand new iPhone. You steal them smh.
2501,I liked a @YouTube video https://t.co/EA6NtR5eTp UNBOXING IPHONE XS Ft. Andy Zurita / Juanpa Zurita
2502,So far so good with the newest iOS update fixing my iPhone XS issues.
2503,I liked a @YouTube video https://t.co/tZ5lbmoZ8v New iPhone XS &amp; homeware! | September Faves | Hannah Witton
2504,I got my iPhone XS today and my Apple Watch is coming this week. I’m a happy gal. 😁
2505,Apple iPhone Xs Max Silicone vs Leather Cases (All Colors) https://t.co/6ncEMMqWYb
2506,@JustinAlexP sadly; it isn’t  https://t.co/qaTpLSNnAq  look at any other picture from other side that shows the bottom of the phone
2507,I wish I wasn’t so ugly..
2508,Omg the iPhone XS is so weird lmao
2509,MY IPHONE XS MAX IS HERE 😍 https://t.co/5BUPhjwwg6
2510,iDrop News is giving away a free iPhone XS Max in February! Enter to win now. https://t.co/uu3JF3rfzK
2511,@hqtrivia What day: Friday.   Who I want a shout out for: me jaycegotgame   Why: I just got the iPhone xs 😆
2512,Yes I got the iPhone XS and it’s like hard to get used to.
2513,I love my iPhone XS Max 😍😍
2514,@skulman7 But you are right coming from 6P is a worthy upgrade. Just not from my P2XL or iPhone Xs Max
2515,@theMrMobile How did you get ProjectFi to work on the iPhone XS Max?
2516,When The person who lost they phone see this they gone me mad af 😂😂
2517,LG V40 ThinQ vs iPhone XS Max - First Impressions https://t.co/IwqfxB12JX @YouTube https://t.co/TqvVYTRiJo
2518,@Miguel_Rdz97 iPhone XS Max bro🤦🏻‍♂️
2519,Google’s Pixel 3 vs Apple’s iPhone XS: How do they stack up? https://t.co/1NES41lVHA 💻 #TechNews https://t.co/NXM9naGoEC
2520,iPhone Xs Max Camera Review. https://t.co/SxH6u5bOxN via @YouTube
2521,I got an iPhone X. Are all iPhone Xs very hot to the touch? Like; burn your fingers if you hold it too long - hot?
2522,convinced everyone get blessed except me 🙄
2523,iPhone Xs; iPhone Xs Max and iPhoneXr! https://t.co/iO6bJuibPG  #iPhoneXs #iPhoneXsMax #iPhoneXr   #iPhone #iPhoneXS #iPhoneXSMax #iPhoneXR
2524,iPhone XS/XR: How to power off; force restart; ent...;;https://t.co/HsMyr2WDsU
2525,We're excited to announce our Luxury Leather Flip Cover iPhone Xs Max (6.5') Wallet Case - Hot Pink at… https://t.co/STseazG2Hx
2526,I want the iPhone X or XS 😫
2527,Waiting for my new iPhone XS to be delivered. Come on hurry up! #iPhoneXS #iphone #telstra
2528,Back screen protector for iphone Xs ;Xs Max  https://t.co/HodRM6avCd https://t.co/R5U499P6Pc
2529,God is a Woman playing in the background. Bless me @ArianaGrande
2530,gnv9: Win an iPhone XS Worth $1;629 from Increase Productions Inc https://t.co/DkSkYMBXg1
2531,#techy #recommended Camera Lens Protector Cover For iPhone X XS Max XR 10 8 7 6 6S Plus For iphone 7 8 Plus Protect… https://t.co/Ym5wb4AWF8
2532,I cannot wait to get this iPhone xs max. It’s been a long time coming
2533,idk you but you’re gorgeous tbh
2534,@tontiengo iphone xs
2535,call me dumb but; i would wait for the owner to come back🤷🏾‍♀️
2536,@bukanmasochism Iphone xs?
2537,Back camera lens tempered glass for iphone Xs ;Xs Max https://t.co/VCgknvTGng https://t.co/Gs3kJ4t9cL
2538,@ChucklefishLTD @ConcernedApe WOOT!! Will the game take advantage of the full display on iPhone X and Xs?
2539,New iPhone XS...looking forward to shooting lots of Andy Grace Media mini-movies and videos... Andy Grace Media… https://t.co/c1bjjcVSfo
2540,I've heard from several people on here that the iPhone X camera software actually produces superior photos; with so… https://t.co/dY6CfJzDDx
2541,Can you tell the difference between $5;500 full frame vs iPhone XS photos? https://t.co/dIMfmZ0N2E
2542,@Noxide_GD @osah2d @SassMySquatch @JoshuaPingley @tldtoday The fact that you had be immature about ur opinion tells… https://t.co/Q0tfUlLjlg
2543,Y’all trash bye
2544,Iphone XS Max Screen Protector Tempered Glass 3 Pack 6.5Inch 3D Touch Easy To In https://t.co/Q9o5eh0dpa
